Model,Akurasi,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.9939024390243902,0.9939024390243902,1.0,0.9969418960244648,0.04294478527607362
K-Nearest Neighbors,0.9939024390243902,0.9939024390243902,1.0,0.9969418960244648,0.4938650306748466
Decision Tree,0.9817073170731707,0.9938271604938271,0.9877300613496932,0.9907692307692307,0.4938650306748466
Random Forest,0.9939024390243902,0.9939024390243902,1.0,0.9969418960244648,0.6441717791411042
Gradient Boosting,0.9878048780487805,0.9938650306748467,0.9938650306748467,0.9938650306748467,0.4049079754601227
