Model,Akurasi,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8183760683760684,0.840538788908354,0.8183760683760684,0.8091366169308166,0.8906339764742742
KNN,0.6089743589743589,0.6055026189773779,0.6089743589743589,0.6070649562182829,0.7027260613322608
Decision Tree,0.9764957264957265,0.976803488254263,0.9764957264957265,0.9760452580138852,0.981661480327941
Random Forest,0.8183760683760684,0.8558542838628799,0.8183760683760684,0.8046929314997356,0.977321575613839
Gradient Boosting,0.9700854700854701,0.9698193312695716,0.9700854700854701,0.9698423934134508,0.9910973872223973
